bed_id,bed_code,bed_number,bed_status,ward_id,ward_type,bed_type,room_number,daily_charge,oxygen_supported,ventilator_supported,maintenance_status,bed_condition,last_sanitized_date,sanitation_frequency,created_date,updated_date
1,BED-000001,1-1,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
2,BED-000002,1-2,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
3,BED-000003,1-3,Available,1,General,General Bed,R-1,2500,False,False,Operational,Good,2024-12-09,Daily,2023-01-01,2025-01-01
4,BED-000004,1-4,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Good,2024-12-21,Daily,2023-01-01,2025-01-01
5,BED-000005,1-5,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
6,BED-000006,1-6,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Needs Repair,2025-01-01,Daily,2023-01-01,2025-01-01
7,BED-000007,1-7,Available,1,General,General Bed,R-1,2500,False,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
8,BED-000008,1-8,Maintenance,1,General,General Bed,R-1,2500,False,False,Under Maintenance,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
9,BED-000009,1-9,Available,1,General,General Bed,R-1,2500,False,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
10,BED-000010,1-10,Occupied,1,General,General Bed,R-1,2500,False,False,Operational,Good,2024-12-31,Daily,2023-01-01,2025-01-01
11,BED-000011,2-1,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
12,BED-000012,2-2,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Good,2024-12-08,Daily,2023-01-01,2025-01-01
13,BED-000013,2-3,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Needs Repair,2024-12-28,Daily,2023-01-01,2025-01-01
14,BED-000014,2-4,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Good,2024-12-18,Daily,2023-01-01,2025-01-01
15,BED-000015,2-5,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-07,Daily,2023-01-01,2025-01-01
16,BED-000016,2-6,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
17,BED-000017,2-7,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
18,BED-000018,2-8,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Good,2024-12-14,Daily,2023-01-01,2025-01-01
19,BED-000019,2-9,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
20,BED-000020,2-10,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
21,BED-000021,2-11,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
22,BED-000022,2-12,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
23,BED-000023,2-13,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-20,Daily,2023-01-01,2025-01-01
24,BED-000024,2-14,Occupied,2,Private,Private Bed,R-2,8000,True,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
25,BED-000025,2-15,Available,2,Private,Private Bed,R-2,8000,True,False,Operational,Good,2024-12-15,Daily,2023-01-01,2025-01-01
26,BED-000026,3-1,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Needs Repair,2024-12-13,Daily,2023-01-01,2025-01-01
27,BED-000027,3-2,Available,3,General,General Bed,R-3,2500,False,False,Operational,Needs Repair,2024-12-09,Daily,2023-01-01,2025-01-01
28,BED-000028,3-3,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
29,BED-000029,3-4,Available,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
30,BED-000030,3-5,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
31,BED-000031,3-6,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
32,BED-000032,3-7,Available,3,General,General Bed,R-3,2500,False,False,Operational,Needs Repair,2024-12-11,Daily,2023-01-01,2025-01-01
33,BED-000033,3-8,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
34,BED-000034,3-9,Available,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
35,BED-000035,3-10,Occupied,3,General,General Bed,R-3,2500,False,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
36,BED-000036,4-1,Available,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
37,BED-000037,4-2,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Needs Repair,2025-01-01,Daily,2023-01-01,2025-01-01
38,BED-000038,4-3,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
39,BED-000039,4-4,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
40,BED-000040,4-5,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
41,BED-000041,4-6,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
42,BED-000042,4-7,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
43,BED-000043,4-8,Available,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
44,BED-000044,4-9,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Needs Repair,2024-12-16,Daily,2023-01-01,2025-01-01
45,BED-000045,4-10,Available,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
46,BED-000046,4-11,Available,4,General,General Bed,R-4,2500,False,False,Operational,Good,2024-12-28,Daily,2023-01-01,2025-01-01
47,BED-000047,4-12,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-05,Daily,2023-01-01,2025-01-01
48,BED-000048,4-13,Available,4,General,General Bed,R-4,2500,False,False,Operational,Good,2024-12-22,Daily,2023-01-01,2025-01-01
49,BED-000049,4-14,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
50,BED-000050,4-15,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
51,BED-000051,4-16,Available,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
52,BED-000052,4-17,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
53,BED-000053,4-18,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
54,BED-000054,4-19,Occupied,4,General,General Bed,R-4,2500,False,False,Operational,Good,2024-12-16,Daily,2023-01-01,2025-01-01
55,BED-000055,4-20,Available,4,General,General Bed,R-4,2500,False,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
56,BED-000056,5-1,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
57,BED-000057,5-2,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
58,BED-000058,5-3,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-08,Daily,2023-01-01,2025-01-01
59,BED-000059,5-4,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-29,Daily,2023-01-01,2025-01-01
60,BED-000060,5-5,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
61,BED-000061,5-6,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
62,BED-000062,5-7,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
63,BED-000063,5-8,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
64,BED-000064,5-9,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
65,BED-000065,5-10,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Good,2024-12-28,Daily,2023-01-01,2025-01-01
66,BED-000066,5-11,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
67,BED-000067,5-12,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
68,BED-000068,5-13,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
69,BED-000069,5-14,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
70,BED-000070,5-15,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-08,Daily,2023-01-01,2025-01-01
71,BED-000071,5-16,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-07,Daily,2023-01-01,2025-01-01
72,BED-000072,5-17,Available,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
73,BED-000073,5-18,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
74,BED-000074,5-19,Occupied,5,General,General Bed,R-5,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
75,BED-000075,5-20,Available,5,General,General Bed,R-5,2500,False,False,Operational,Good,2024-12-19,Daily,2023-01-01,2025-01-01
76,BED-000076,6-1,Available,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
77,BED-000077,6-2,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
78,BED-000078,6-3,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Good,2024-12-07,Daily,2023-01-01,2025-01-01
79,BED-000079,6-4,Available,6,Private,Private Bed,R-6,8000,True,False,Operational,Good,2024-12-14,Daily,2023-01-01,2025-01-01
80,BED-000080,6-5,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
81,BED-000081,6-6,Available,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-20,Daily,2023-01-01,2025-01-01
82,BED-000082,6-7,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
83,BED-000083,6-8,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Good,2024-12-08,Daily,2023-01-01,2025-01-01
84,BED-000084,6-9,Available,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
85,BED-000085,6-10,Occupied,6,Private,Private Bed,R-6,8000,True,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
86,BED-000086,7-1,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
