inventory_id,current_stock,reorder_level,inventory_status,last_restock_date,drug_id,warehouse_location,storage_zone,batch_number,supplier_lead_time_days,expiry_date,reorder_quantity,safety_stock,maximum_stock,reorder_point,next_inspection_date,inspection_status,created_by,updated_by,created_date,updated_date
1,347,170,Normal,2025-04-21,1,ICU Pharmacy,Ambient Storage,BT-467436,4,2027-06-02,0,85,680,170,2026-09-13,Pending,System,System,2023-01-01,2025-01-01
2,949,125,Normal,2023-03-30,2,Emergency Pharmacy,Ambient Storage,BT-943553,12,2028-11-12,0,62,500,125,2026-08-14,Pending,System,System,2023-01-01,2025-01-01
3,293,246,Normal,2020-02-09,3,Warehouse B,Cold Storage (2-8°C),BT-648094,5,2028-01-12,0,123,984,246,2026-09-18,Pending,System,System,2023-01-01,2025-01-01
4,433,252,Normal,2021-03-06,4,Warehouse A,Ambient Storage,BT-448920,13,2026-12-14,0,126,1008,252,2026-08-24,Completed,System,System,2023-01-01,2025-01-01
5,641,114,Normal,2024-02-08,5,Warehouse B,Controlled Drug Room,BT-199063,10,2026-03-09,0,57,456,114,2026-09-18,Completed,System,System,2023-01-01,2025-01-01
6,948,240,Normal,2025-06-06,6,ICU Pharmacy,Ambient Storage,BT-854286,5,2026-04-29,0,120,960,240,2026-08-27,Pending,System,System,2023-01-01,2025-01-01
7,667,236,Normal,2022-05-17,7,Emergency Pharmacy,Controlled Drug Room,BT-759035,5,2027-08-30,0,118,944,236,2026-09-09,Pending,System,System,2023-01-01,2025-01-01
8,205,202,Normal,2023-01-29,8,Warehouse A,Ambient Storage,BT-514568,9,2028-11-23,0,101,808,202,2026-09-06,Completed,System,System,2023-01-01,2025-01-01
9,488,294,Normal,2023-05-29,9,Warehouse B,Cold Storage (2-8°C),BT-493642,3,2028-10-18,0,147,1176,294,2026-08-09,Completed,System,System,2023-01-01,2025-01-01
10,659,238,Normal,2024-11-16,10,Warehouse B,Cold Storage (2-8°C),BT-185083,5,2026-09-06,0,119,952,238,2026-09-01,Completed,System,System,2023-01-01,2025-01-01
