insurance_provider_id,provider_name,provider_type,contact_details,coverage_limit,provider_code,claim_processing_days,network_type,coverage_type,claim_settlement_ratio,cashless_available,pre_authorization_required,max_claim_amount,policy_validity_years,support_email,grievance_email,support_phone,website,provider_status,created_by,updated_by,created_date,updated_date
1,Bhatti Group Health Insurance,Private,312415859,1500000,INS001,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,bhattigrouphealthinsurance@insurance.com,grievance@bhattigrouphealthinsurance.com,+91-1800-104940,www.bhattigrouphealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
2,"Buch, Sane and Mital Health Insurance",Govt,4725671570,1500000,INS002,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,buchsaneandmitalhealthinsurance@insurance.com,grievance@buchsaneandmitalhealthinsurance.com,+91-1800-276172,www.buchsaneandmitalhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
3,Raval-Panchal Health Insurance,Private,3558053298,300000,INS003,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,raval-panchalhealthinsurance@insurance.com,grievance@raval-panchalhealthinsurance.com,+91-1800-206875,www.raval-panchalhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
4,Dalal Group Health Insurance,Private,2200795707,200000,INS004,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,dalalgrouphealthinsurance@insurance.com,grievance@dalalgrouphealthinsurance.com,+91-1800-175442,www.dalalgrouphealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
5,"Sridhar, Upadhyay and Dewan Health Insurance",Private,905244964,300000,INS005,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,sridharupadhyayanddewanhealthinsurance@insurance.com,grievance@sridharupadhyayanddewanhealthinsurance.com,+91-1800-625130,www.sridharupadhyayanddewanhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
6,Nair PLC Health Insurance,Govt,8979259580,750000,INS006,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,nairplchealthinsurance@insurance.com,grievance@nairplchealthinsurance.com,+91-1800-536886,www.nairplchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
7,Setty-Sarna Health Insurance,Govt,7400339803,500000,INS007,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,setty-sarnahealthinsurance@insurance.com,grievance@setty-sarnahealthinsurance.com,+91-1800-449113,www.setty-sarnahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
8,Sant LLC Health Insurance,Private,8205481214,200000,INS008,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,santllchealthinsurance@insurance.com,grievance@santllchealthinsurance.com,+91-1800-642952,www.santllchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
9,"Banerjee, Chad and Nath Health Insurance",Govt,3017058996,750000,INS009,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,banerjeechadandnathhealthinsurance@insurance.com,grievance@banerjeechadandnathhealthinsurance.com,+91-1800-914335,www.banerjeechadandnathhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
10,Dugar Ltd Health Insurance,Private,915688459465,750000,INS010,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,dugarltdhealthinsurance@insurance.com,grievance@dugarltdhealthinsurance.com,+91-1800-358826,www.dugarltdhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
11,"Bhasin, Tripathi and Atwal Health Insurance",Govt,3852061786,500000,INS011,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,bhasintripathiandatwalhealthinsurance@insurance.com,grievance@bhasintripathiandatwalhealthinsurance.com,+91-1800-930371,www.bhasintripathiandatwalhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
12,"Soni, Vohra and Vohra Health Insurance",Govt,3882491912,2000000,INS012,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,sonivohraandvohrahealthinsurance@insurance.com,grievance@sonivohraandvohrahealthinsurance.com,+91-1800-857539,www.sonivohraandvohrahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
13,Chaudhari-Dixit Health Insurance,Govt,9685194407,2000000,INS013,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,chaudhari-dixithealthinsurance@insurance.com,grievance@chaudhari-dixithealthinsurance.com,+91-1800-988431,www.chaudhari-dixithealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
14,"Borah, Parmer and Varty Health Insurance",Govt,9684079358,1500000,INS014,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,borahparmerandvartyhealthinsurance@insurance.com,grievance@borahparmerandvartyhealthinsurance.com,+91-1800-924784,www.borahparmerandvartyhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
