assignment_id,employee_id,department_id,ward_id,admission_id,assignment_date,shift_type,shift_start_time,shift_end_time,assignment_role,assignment_status,supervisor_id,remarks,created_by,updated_by,created_date,updated_date
1,2,7,24,32971,2023-04-30,Morning,07:00:00,15:00:00,Reception Executive,Active,14,Emergency Coverage,System,System,2023-04-30,2023-05-03
2,4,4,2,44216,2025-04-10,Morning,07:00:00,15:00:00,Reception Executive,Completed,9,Emergency Coverage,System,System,2025-04-10,2025-04-15
3,17,11,24,12689,2025-12-17,Night,23:00:00,07:00:00,Staff Nurse,Active,40,Temporary Assignment,System,System,2025-12-17,2025-12-17
4,19,8,12,25343,2025-01-10,Night,23:00:00,07:00:00,Staff Nurse,Active,450,Shift Completed,System,System,2025-01-10,2025-01-11
5,20,5,22,37158,2023-04-27,Morning,07:00:00,15:00:00,Ward Assistant,Completed,237,On Duty,System,System,2023-04-27,2023-05-02
6,21,7,17,2328,2025-03-01,Morning,07:00:00,15:00:00,Pharmacist,Active,281,Temporary Assignment,System,System,2025-03-01,2025-03-01
7,23,10,9,40773,2025-10-09,Night,23:00:00,07:00:00,Reception Executive,Completed,359,On Duty,System,System,2025-10-09,2025-10-14
8,24,3,7,40546,2025-12-17,Evening,15:00:00,23:00:00,Staff Nurse,Active,201,Shift Completed,System,System,2025-12-17,2025-12-18
9,27,7,5,198,2024-09-25,Night,23:00:00,07:00:00,Emergency Technician,Completed,246,Emergency Coverage,System,System,2024-09-25,2024-09-27
10,28,11,3,23510,2024-05-27,Evening,15:00:00,23:00:00,Ward Assistant,Active,278,System Generated,System,System,2024-05-27,2024-05-28
11,30,11,20,34699,2025-03-12,Night,23:00:00,07:00:00,Reception Executive,Active,235,Emergency Coverage,System,System,2025-03-12,2025-03-13
12,32,8,13,44543,2024-07-13,Night,23:00:00,07:00:00,Pharmacist,Active,494,Temporary Assignment,System,System,2024-07-13,2024-07-18
13,35,5,8,15088,2024-05-02,Evening,15:00:00,23:00:00,Pharmacist,Completed,4,System Generated,System,System,2024-05-02,2024-05-08
14,36,4,24,22672,2025-06-15,Morning,07:00:00,15:00:00,Ward Assistant,Active,154,Temporary Assignment,System,System,2025-06-15,2025-06-19
15,37,8,10,25185,2024-12-04,Evening,15:00:00,23:00:00,Ward Assistant,Active,442,Shift Completed,System,System,2024-12-04,2024-12-07
16,38,8,23,27849,2024-08-03,Night,23:00:00,07:00:00,Staff Nurse,Active,29,System Generated,System,System,2024-08-03,2024-08-06
17,39,3,24,42108,2025-02-28,Evening,15:00:00,23:00:00,Staff Nurse,Completed,109,Temporary Assignment,System,System,2025-02-28,2025-03-02
18,45,6,6,20667,2025-05-10,Morning,07:00:00,15:00:00,Reception Executive,Active,98,Shift Completed,System,System,2025-05-10,2025-05-12
19,47,5,11,44358,2023-09-04,Night,23:00:00,07:00:00,Pharmacist,Completed,215,Emergency Coverage,System,System,2023-09-04,2023-09-07
20,53,2,5,15709,2023-06-03,Morning,07:00:00,15:00:00,Reception Executive,Active,293,Shift Completed,System,System,2023-06-03,2023-06-07
21,55,8,4,26371,2025-09-23,Morning,07:00:00,15:00:00,Reception Executive,Active,75,On Duty,System,System,2025-09-23,2025-09-26
22,58,6,2,2812,2024-11-27,Night,23:00:00,07:00:00,Emergency Technician,Active,326,Shift Completed,System,System,2024-11-27,2024-12-03
23,60,2,13,6547,2025-12-28,Morning,07:00:00,15:00:00,Pharmacist,Active,146,Shift Completed,System,System,2025-12-28,2026-01-01
24,62,5,1,34755,2025-12-06,Evening,15:00:00,23:00:00,Reception Executive,Completed,128,On Duty,System,System,2025-12-06,2025-12-08
25,63,1,14,30207,2025-10-05,Evening,15:00:00,23:00:00,Pharmacist,Active,341,Temporary Assignment,System,System,2025-10-05,2025-10-05
26,66,10,7,41107,2023-04-04,Morning,07:00:00,15:00:00,Staff Nurse,Active,42,Temporary Assignment,System,System,2023-04-04,2023-04-09
27,68,6,23,11412,2025-08-15,Evening,15:00:00,23:00:00,Ward Assistant,Completed,356,Shift Completed,System,System,2025-08-15,2025-08-21
28,69,9,4,2912,2025-10-08,Morning,07:00:00,15:00:00,Staff Nurse,Active,41,On Duty,System,System,2025-10-08,2025-10-14
29,80,1,7,1735,2024-03-28,Evening,15:00:00,23:00:00,Reception Executive,Active,422,On Duty,System,System,2024-03-28,2024-03-30
